season,player_display_name,player_position,player_gsis_id,avg_cushion,avg_separation,avg_intended_air_yards,catch_percentage,avg_yac,avg_expected_yac,avg_yac_above_expectation,total_weeks
2021,Phillip Dorsett,WR,00-0032208,8.6,2.700443739112695,16.136666666666663,50.0,2.873333333333335,3.1244164296135395,-0.25108309628020464,1
2022,Phillip Dorsett,WR,00-0032208,8.147166666666665,3.18021908985166,10.932333333333332,43.333333333333336,3.0511111111111107,3.0360424723287003,0.01506863878241053,3
2016,Tyler Lockett,WR,00-0032211,6.960135416666667,3.4858166477315384,10.61560321969697,55.890151515151516,5.577189646590343,5.133424742219755,0.44376490437058774,8
2017,Tyler Lockett,WR,00-0032211,7.385837009803922,3.19114429373262,12.90817901855578,65.89872568745808,4.498618055555556,4.331272700523242,0.16734535503231396,8
2018,Tyler Lockett,WR,00-0032211,6.123976604554865,3.240249015156954,13.463685714285713,81.61904761904762,4.738347368421052,4.486328004595194,0.2520193638258588,10
2019,Tyler Lockett,WR,00-0032211,5.968709401709402,3.166812539023716,12.493753413253414,75.05050505050505,3.7224456146834197,4.459734047295899,-0.6504179647221945,13
2020,Tyler Lockett,WR,00-0032211,6.538940069190068,3.5943559434211503,9.955668703518706,76.64737114737115,3.558033756613756,4.251020154273399,-0.692986397659642,15
2021,Tyler Lockett,WR,00-0032211,6.941535014275617,3.1587035497302303,15.924404928682799,66.42044630195498,4.408714786599572,4.355268249036665,0.053446537562906245,14
2022,Tyler Lockett,WR,00-0032211,7.445711038961038,3.5028288592824253,11.300263890623265,70.44361888111888,3.4043854166666665,4.148725164446526,-0.7443397477798597,16
2023,Tyler Lockett,WR,00-0032211,6.751360889563335,2.7120749352626423,11.240613548763395,64.72849839140822,2.422239583333333,2.9054193537890054,-0.48317977045567234,16
2024,Tyler Lockett,WR,00-0032211,6.267247732426304,2.5008721991704745,11.523324523503094,64.75991297419867,2.9589703595724006,4.452092021263629,-1.4931216616912277,7
2016,Dorial Green-Beckham,WR,00-0032218,5.5289893822393825,2.2866952348225014,12.24623316173316,40.957743457743454,3.459101851851853,4.294178924748018,-0.8350770728961647,7
2017,Kasen Williams,WR,00-0032250,7.697166666666666,2.49342976306058,10.785,73.33333333333333,1.7837500000000006,1.713812562085451,0.06993743791454965,2
2016,Chester Rogers,WR,00-0032355,6.192460317460316,1.7999848646934133,12.661746031746029,55.714285714285715,1.0425000000000006,2.8330102139676385,-1.7905102139676383,3
2017,Chester Rogers,WR,00-0032355,7.178750000000001,5.349431625267985,8.764166666666668,83.33333333333333,5.070833333333333,3.1356308457078144,1.935202487625518,2
2018,Chester Rogers,WR,00-0032355,6.065066372682045,3.5561276126978907,5.626544056637806,75.71654040404042,4.85049132412399,5.231229912525068,-0.38073858840107966,8
2019,Chester Rogers,WR,00-0032355,4.656499999999999,3.3996374860438663,8.518333333333333,55.0,2.05,2.404410735477626,-0.35441073547762625,2
2021,Chester Rogers,WR,00-0032355,5.540833333333334,2.6058247293259464,10.87941666666667,64.16666666666666,2.395249999999998,2.30548452347756,0.08976547652243838,4
2018,Maurice Harris,WR,00-0032362,6.215902197802198,2.7419937114386705,11.58200460992908,56.08156028368794,3.168226190476191,3.5953925692359534,-0.42716637875976254,5
2016,DeMarcus Ayers,WR,00-0032365,5.415,2.7168005516348095,11.206666666666669,41.66666666666667,5.589999999999999,5.5871739974026,0.002826002597399402,1
2016,Sterling Shepard,WR,00-0032385,5.268194250778462,2.7150567729233077,9.483251250601251,60.36267436267437,3.7102973748473747,4.532455754296448,-0.8221583794490743,15
2017,Sterling Shepard,WR,00-0032385,5.180719754161828,2.308745228916357,8.620483363858366,72.12878171211504,5.695260759328554,3.2265263877464725,2.468734371582082,9
2018,Sterling Shepard,WR,00-0032385,5.900476767676768,3.088598780412053,10.457554591306927,60.69151461207535,5.691574747474747,4.956010019296213,0.735564728178535,15
2019,Sterling Shepard,WR,00-0032385,5.815756887052341,3.13139952997335,9.80229982977957,69.09242637610656,3.14358395989975,3.0442828384767946,0.09930112142295422,11
2020,Sterling Shepard,WR,00-0032385,6.3534868356518635,3.0431579378407547,8.239708994708993,73.30357142857143,3.352405002405002,3.463795893429074,-0.11139089102407158,12
2021,Sterling Shepard,WR,00-0032385,7.665458238851097,2.5375655796565275,8.289616751522413,66.26784466407108,3.3771984126984123,3.4254431395057785,-0.04824472680736606,6
2022,Sterling Shepard,WR,00-0032385,6.981722222222222,2.477832588581083,9.182,55.0,2.2986666666666666,2.9760967152618774,-0.6774300485952104,2
2023,Sterling Shepard,WR,00-0032385,7.108,4.42652626732142,2.8280000000000003,60.0,6.673333333333335,6.472514268751941,0.20081906458139365,1
2024,Sterling Shepard,WR,00-0032385,7.480238095238095,3.0209045225567723,9.006960784313724,65.42617046818727,3.4511249999999998,3.5395024907664245,-0.08837749076642508,7
2017,Chris Moore,WR,00-0032398,7.4939583333333335,1.914523070993084,14.871339285714285,33.92857142857143,4.096666666666666,3.4781919881403383,0.618474678526328,2
2021,Chris Moore,WR,00-0032398,6.291,3.350893692625278,4.581000000000001,90.0,9.463499999999998,6.489230430950488,2.9742695690495107,2
2022,Chris Moore,WR,00-0032398,6.324256583694083,2.963134643124474,10.182815435971687,62.56698256698257,5.406015624999998,3.602822653530817,1.8031929714691821,8
2016,Malcolm Mitchell,WR,00-0032400,4.606023550724638,2.4298851043667966,10.702982142857142,70.47619047619048,5.218033854166666,3.9929653681758155,1.2250684859908516,8
2021,Kalif Raymond,WR,00-0032464,6.778412640901771,3.6363007355049755,9.56245826812728,69.44295402041881,6.513310185185184,5.868458682865758,0.6448515023194266,9
2022,Kalif Raymond,WR,00-0032464,7.434625513136289,2.9952259628850464,9.581212239583333,68.46540178571428,4.870238031914894,5.95688801656145,-1.086649984646555,8
2023,Kalif Raymond,WR,00-0032464,4.0025,3.4372084628704056,12.529333333333334,83.33333333333333,5.1702499999999985,5.454300846162907,-0.2840508461629083,2
