season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2018,REG,5,James O'Shaughnessy,TE,JAX,4.2124999999999995,3.0728943817960785,7.5133333333333345,7.275192046995029,3,6,50.0,27.0,0,7.516666666666668,5.384770893056232,2.1318957736104363,00-0031951,James,O'Shaughnessy,80,J.O'Shaughnessy
2018,REG,5,Devin Funchess,WR,CAR,4.2057142857142855,1.3864966434928354,11.912857142857145,28.485055508112726,4,7,57.14285714285714,53.0,0,1.5699999999999967,1.5933319847399758,-0.023331984739979106,00-0032055,Devin,Funchess,17,D.Funchess
2018,REG,5,David Njoku,TE,CLE,4.12,2.517250159248139,5.549,15.082083061535117,6,10,60.0,69.0,0,6.965000000000001,4.558128371866417,2.406871628133584,00-0033885,David,Njoku,85,D.Njoku
2018,REG,5,Ian Thomas,TE,CAR,3.8775,2.4111467965840925,10.801666666666668,22.138343296327925,3,6,50.0,38.0,0,3.779999999999999,4.272688278300696,-0.49268827830069695,00-0034365,Ian,Thomas,80,I.Thomas
2018,REG,6,Zach Ertz,TE,PHI,8.014285714285716,2.0250713860889626,6.674444444444442,25.396355641990436,7,9,77.77777777777779,43.0,1,0.16285714285714295,0.8071764363915334,-0.6443192935343904,00-0030061,Zachary,Ertz,86,Z.Ertz
2018,REG,6,Charles Clay,TE,BUF,7.208,2.5580256116310336,2.379999999999998,5.140832901330565,4,5,80.0,20.0,0,3.1900000000000013,3.265848755048978,-0.07584875504897681,00-0028112,Charles,Clay,85,C.Clay
2018,REG,6,Jordan Reed,TE,WAS,6.761428571428572,3.740207100449847,5.582222222222222,18.984280532043528,5,9,55.55555555555556,36.0,0,4.152000000000003,4.42241052932286,-0.2704105293228576,00-0030472,Jordan,Reed,86,J.Reed
2018,REG,6,Devin Funchess,WR,CAR,6.2925,2.1684460980910747,15.571250000000001,37.5867479331362,5,8,62.5,74.0,1,1.6939999999999984,2.448150398683191,-0.7541503986831926,00-0032055,Devin,Funchess,17,D.Funchess
2018,REG,6,David Njoku,TE,CLE,6.0,2.173918469758947,8.270833333333334,21.542836057389685,7,12,58.333333333333336,55.0,1,2.787142857142857,2.280911084993964,0.5062317721488929,00-0033885,David,Njoku,85,D.Njoku
2018,REG,6,Vance McDonald,TE,PIT,5.846666666666667,3.2984237115632693,1.785000000000001,3.848537932893143,7,8,87.5,68.0,0,7.878571428571427,4.649632211044734,3.228939217526693,00-0030470,Vance,McDonald,89,V.McDonald
2018,REG,6,Austin Hooper,TE,ATL,5.718333333333334,3.0622297362642414,6.061999999999999,15.63943138721911,9,10,90.0,71.0,1,1.7266666666666675,2.050632477769082,-0.3239658111024144,00-0032392,Austin,Hooper,81,A.Hooper
2018,REG,6,Eric Ebron,TE,IND,5.640000000000001,2.4287398093152106,14.50285714285714,25.988787343522002,4,7,57.14285714285714,71.0,1,3.0325000000000024,2.4759663090478057,0.5565336909521967,00-0031387,Eric,Ebron,85,E.Ebron
2018,REG,6,Jeff Heuerman,TE,DEN,5.5,2.482462047512594,10.122,14.405260011954576,3,5,60.0,23.0,0,1.4366666666666674,1.8143652016066578,-0.3776985349399904,00-0032227,Jeff,Heuerman,82,J.Heuerman
2018,REG,6,George Kittle,TE,SF,5.470000000000001,4.42922316865232,1.4516666666666673,4.917014790561142,4,6,66.66666666666666,30.0,0,6.09,5.996155547331682,0.09384445266831776,00-0033288,George,Kittle,85,G.Kittle
2018,REG,6,Kyle Rudolph,TE,MIN,5.21,4.430159602374838,3.446,8.904852963977469,4,5,80.0,37.0,0,5.3875,3.335572961321077,2.0519270386789232,00-0027981,Kyle,Rudolph,82,K.Rudolph
2018,REG,6,Travis Kelce,TE,KC,5.1762500000000005,2.8474955598801595,7.407777777777779,21.442814871992795,5,9,55.55555555555556,61.0,0,7.309999999999997,6.801274413765441,0.5087255862345561,00-0030506,Travis,Kelce,87,T.Kelce
2018,REG,6,Greg Olsen,TE,CAR,5.093333333333333,3.9103993846141054,7.251428571428571,15.315913342586446,4,7,57.14285714285714,48.0,0,7.404999999999999,7.999892435115072,-0.5948924351150726,00-0025418,Gregory,Olsen,88,G.Olsen
2018,REG,6,Jesse James,TE,PIT,5.04,3.565740829672632,4.350000000000001,8.206441180433906,5,7,71.42857142857143,26.0,0,3.408,4.592166100159761,-1.1841661001597612,00-0032135,Jesse,James,81,J.James
2018,REG,6,Ryan Griffin,TE,HOU,4.6850000000000005,1.6547858663710275,9.073999999999998,20.92615654259489,0,5,0.0,,0,,,,00-0030108,Ryan,Griffin,84,R.Griffin
2018,REG,6,Jimmy Graham,TE,GB,4.175,3.5725645848341907,8.597777777777777,19.53300517480752,5,9,55.55555555555556,104.0,0,13.264,12.750134149593851,0.5138658504061482,00-0027696,Jimmy,Graham,80,J.Graham
2018,REG,6,Ricky Seals-Jones,TE,ARI,4.061999999999999,1.856482919628452,10.65,29.136838265468967,5,6,83.33333333333334,69.0,0,2.4980000000000007,1.5142556459875052,0.9837443540124955,00-0033611,Roderick,Seals-Jones,86,R.Seals-Jones
2018,REG,6,C.J. Uzomah,TE,CIN,3.9259999999999997,2.3865450526610927,9.16,16.70400666909811,6,7,85.71428571428571,54.0,0,1.4833333333333336,1.1001973375297638,0.38313599580356983,00-0032134,Christopher,Uzomah,87,C.Uzomah
2018,REG,7,David Njoku,TE,CLE,7.05,1.812265582795754,10.636666666666667,22.642446604697366,4,6,66.66666666666666,52.0,1,3.1800000000000015,2.4099184387904415,0.77008156120956,00-0033885,David,Njoku,85,D.Njoku
2018,REG,7,Chris Herndon,TE,NYJ,6.9750000000000005,3.5618018750724323,9.067142857142855,13.64447406324569,4,7,57.14285714285714,42.0,1,4.505000000000002,5.009422103135989,-0.5044221031359877,00-0034766,Christopher,Herndon,89,C.Herndon
2018,REG,7,Travis Kelce,TE,KC,6.505000000000001,3.5709329339823723,6.109999999999999,9.105540818455484,5,5,100.0,95.0,0,12.89,3.9831924681352575,8.906807531864743,00-0030506,Travis,Kelce,87,T.Kelce
2018,REG,7,Charles Clay,TE,BUF,6.477499999999999,2.232274128616844,7.978,20.699496653001923,3,5,60.0,14.0,0,0.6500000000000009,2.192284413200658,-1.5422844132006572,00-0028112,Charles,Clay,85,C.Clay
2018,REG,7,Devin Funchess,WR,CAR,6.370909090909091,1.9336783103781428,10.802727272727275,40.85049331362371,6,11,54.54545454545454,62.0,1,1.4366666666666663,1.354675024362071,0.08199164230459521,00-0032055,Devin,Funchess,17,D.Funchess
2018,REG,7,Eric Ebron,TE,IND,6.010000000000001,2.6374359473302857,8.225714285714286,54.03528528528528,3,7,42.857142857142854,31.0,0,4.533333333333331,2.6456821182047556,1.8876512151285758,00-0031387,Eric,Ebron,85,E.Ebron
2018,REG,7,Greg Olsen,TE,CAR,5.375,1.5891157780688219,9.222,15.851352745023888,2,5,40.0,5.0,1,0.38000000000000256,0.2866458865794357,0.09335411342056688,00-0025418,Gregory,Olsen,88,G.Olsen
2018,REG,7,Dallas Goedert,TE,PHI,5.296666666666666,2.588683924108313,7.028000000000001,12.43409645801635,4,5,80.0,43.0,1,7.602499999999999,6.4766724147884815,1.1258275852115176,00-0034351,Dallas,Goedert,88,D.Goedert
2018,REG,7,Trey Burton,TE,CHI,5.0975,4.81548890095126,10.993636363636368,21.194966348850254,9,11,81.81818181818183,126.0,1,4.346666666666665,4.0552449437558,0.2914217229108651,00-0030710,Lawrence,Burton,80,T.Burton
2018,REG,7,Benjamin Watson,TE,NO,4.89,2.861195063022366,6.633333333333333,19.221481696126723,6,6,100.0,43.0,1,1.0833333333333346,1.190553632079535,-0.10722029874620032,00-0022943,Benjamin,Watson,82,B.Watson
2018,REG,7,Zach Ertz,TE,PHI,4.735555555555556,2.1656299000277777,12.69,49.393156646969324,9,11,81.81818181818183,138.0,0,2.6144444444444446,2.782704737306056,-0.16826029286161148,00-0030061,Zachary,Ertz,86,Z.Ertz
2018,REG,7,O.J. Howard,TE,TB,4.1925,2.0361794154189368,11.593333333333334,20.5123164330509,5,9,55.55555555555556,67.0,0,3.4160000000000013,2.773205588035398,0.6427944119646032,00-0033879,O'Terrius,Howard,80,O.Howard
2018,REG,7,George Kittle,TE,SF,3.5799999999999996,3.484294722755287,8.9275,29.602918013761098,5,8,62.5,98.0,1,11.872,8.66086168323072,3.2111383167692793,00-0033288,George,Kittle,85,G.Kittle
2018,REG,8,Jared Cook,TE,LV,8.58,3.1307209206326805,11.478,29.24182207276063,4,5,80.0,74.0,1,4.927500000000001,8.643412984811903,-3.7159129848119017,00-0027061,Jared,Cook,87,J.Cook
2018,REG,8,Matt LaCosse,TE,DEN,7.841999999999999,4.304040796905332,5.8340000000000005,8.942914954932858,4,5,80.0,29.0,0,3.16,3.416905784201134,-0.25690578420113397,00-0031744,Matthew,LaCosse,83,M.LaCosse
2018,REG,8,Jordan Reed,TE,WAS,6.8775,3.1152633522179847,5.370833333333334,28.219274048776217,7,12,58.333333333333336,38.0,0,4.051428571428572,3.8103121194186707,0.24111645200990095,00-0030472,Jordan,Reed,86,J.Reed
2018,REG,8,David Grinnage,TE,JAX,6.522,3.2826079461909297,10.658000000000001,18.94486117529951,3,5,60.0,37.0,0,3.6866666666666674,3.953332920020254,-0.2666662533535864,00-0032634,David,Grinnage,86,D.Grinnage
