season,player_display_name,player_position,player_gsis_id,avg_intended_air_yards,avg_time_to_throw,avg_completed_air_yards,total_weeks
2022,Teddy Bridgewater,QB,00-0031237,9.558595992822964,3.115205366357069,7.53804347826087,3
2016,Derek Carr,QB,00-0031280,8.40282938136689,2.49118893861091,5.984823653384239,16
2017,Derek Carr,QB,00-0031280,7.813935920143084,2.4748147641741127,5.360972585594743,16
2018,Derek Carr,QB,00-0031280,6.642861175146415,2.5626055249477018,4.922971047608524,17
2019,Derek Carr,QB,00-0031280,6.483616698667385,2.81375366368205,4.876494877558426,17
2020,Derek Carr,QB,00-0031280,8.244843609284654,2.7784792235847746,5.950359082971454,16
2021,Derek Carr,QB,00-0031280,8.050585918281142,2.8306131873646234,5.735962711662854,19
2022,Derek Carr,QB,00-0031280,9.320526943434462,2.944157106574892,6.442447100440016,16
2023,Derek Carr,QB,00-0031280,7.910922434153024,2.7024319585885874,5.735573158313122,18
2024,Derek Carr,QB,00-0031280,8.535280831540371,2.7701307944553633,5.971133542936773,11
2019,AJ McCarron,QB,00-0031288,8.103749999999998,3.0234722222222223,4.192857142857143,1
2016,Jimmy Garoppolo,QB,00-0031345,8.512511655011656,2.4572820512820512,6.370694444444443,2
2017,Jimmy Garoppolo,QB,00-0031345,9.184276494432746,2.746153491356616,6.679799263460556,6
2018,Jimmy Garoppolo,QB,00-0031345,8.586798611111112,2.751701243201243,6.7726851851851855,3
2019,Jimmy Garoppolo,QB,00-0031345,6.742969339931812,2.638694202736901,5.624564347764957,19
2020,Jimmy Garoppolo,QB,00-0031345,6.403648348252345,2.5601479684601114,4.134307788269406,7
2021,Jimmy Garoppolo,QB,00-0031345,7.16067394434788,2.688375863343136,5.864433074225249,19
2022,Jimmy Garoppolo,QB,00-0031345,6.817140933551263,2.6386161235901646,4.626124687938205,11
2023,Jimmy Garoppolo,QB,00-0031345,7.951943969823282,2.9585397531040387,6.511514378478665,7
2024,Jimmy Garoppolo,QB,00-0031345,4.86975,2.659268292682927,3.8111111111111113,1
2020,Garrett Gilbert,QB,00-0031395,9.732972972972973,2.6855135135135133,8.911904761904763,1
2021,Garrett Gilbert,QB,00-0031395,6.933000000000001,3.05458064516129,4.7255,1
2016,Blake Bortles,QB,00-0031407,8.779421165835624,2.598441338754585,5.660376340780169,17
2017,Blake Bortles,QB,00-0031407,7.566645858465421,2.788884369720922,5.408241871203034,19
2018,Blake Bortles,QB,00-0031407,6.924761935536494,2.7744390920501285,4.721205522860376,12
2016,Jameis Winston,QB,00-0031503,10.825281211756312,2.901392820948847,8.143572025769672,17
2017,Jameis Winston,QB,00-0031503,10.4784690081503,2.755367774818278,7.694488173104641,12
2018,Jameis Winston,QB,00-0031503,10.89266755938531,2.8127925314169597,8.698062953022225,12
2019,Jameis Winston,QB,00-0031503,10.531291793726615,2.7738002727271276,8.317303541816077,17
2021,Jameis Winston,QB,00-0031503,9.328066765130918,3.070298084213923,6.7043186415530505,7
2022,Jameis Winston,QB,00-0031503,11.276424145299146,2.7586320630081302,8.797339130434784,3
2023,Jameis Winston,QB,00-0031503,12.086666666666666,2.4769837500000005,7.394192307692308,2
2024,Jameis Winston,QB,00-0031503,9.099593083724915,2.8063634086378793,7.140824361263075,8
2016,Bryce Petty,QB,00-0031568,9.556829603174602,2.5173364289891387,6.146281051244713,5
2017,Bryce Petty,QB,00-0031568,7.167606516290728,2.4279240944240943,5.084502923976609,3
2017,Brett Hundley,QB,00-0031589,7.140328323012665,3.008966025062755,3.9750147028216887,11
2018,Taylor Heinicke,QB,00-0031800,8.038846153846155,2.8836153846153847,3.9054545454545453,1
2020,Taylor Heinicke,QB,00-0031800,11.558780487804876,2.9662147129186605,7.854198717948716,2
2021,Taylor Heinicke,QB,00-0031800,8.106437077297752,3.00057381459418,5.489375899414789,17
2022,Taylor Heinicke,QB,00-0031800,9.239965664051015,2.9739947850207864,7.033857305917536,10
2023,Taylor Heinicke,QB,00-0031800,8.350308922847985,2.8945920028540786,5.09076457668849,6
2016,Trevor Siemian,QB,00-0032156,9.22153916794735,2.7013939692902507,7.088297099036468,14
2017,Trevor Siemian,QB,00-0032156,8.556807362711812,2.687908299969008,6.056367251727582,11
2021,Trevor Siemian,QB,00-0032156,7.602365797430084,2.8930987154484575,5.854257990899709,7
2022,Trevor Siemian,QB,00-0032156,7.453333333333333,2.65568,5.121428571428572,1
2023,Trevor Siemian,QB,00-0032156,6.099250757575757,2.5223921417797888,2.4785994293712315,5
2017,Sean Mannion,QB,00-0032245,7.005294117647061,2.507117647058824,4.973999999999999,1
2019,Sean Mannion,QB,00-0032245,6.261428571428569,2.6724761904761904,4.731666666666666,1
2021,Sean Mannion,QB,00-0032245,6.5255882352941175,2.9080833333333334,3.9318181818181817,1
2016,Marcus Mariota,QB,00-0032268,9.947960409146608,2.7833367366520605,7.850328354859462,16
2017,Marcus Mariota,QB,00-0032268,8.90809060727004,2.7236824869150276,6.499831349382512,17
2018,Marcus Mariota,QB,00-0032268,7.453200805513243,2.6869660681746463,5.248020428402006,13
2019,Marcus Mariota,QB,00-0032268,7.203406100647641,2.8360658800177787,5.7616269021015665,7
2020,Marcus Mariota,QB,00-0032268,10.409615384615389,2.945666666666667,8.744705882352939,1
