carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,targets,receiving_yards,receiving_yards_after_catch,receiving_first_downs,target_share,wopr_x,fantasy_points_ppr,tgt_sh,yac_sh,wopr_y,ry_sh,yptmpa,ppr_sh,player_id,player_name,season,team
23,89.0,1,5.0,2,2,3.0,5.0,1.0,0.0571428571428571,0.0792328042328042,17.200000000000003,0.0136054421768707,0.0066844919786096,0.018753561403879,0.0023885350318471,0.0204081632653061,0.0390429926907885,00-0035973,Patrick Taylor,2021,GB
10,31.0,0,2.0,1,1,17.0,17.0,1.0,0.0263157894736842,0.0394736842105263,5.800000000000001,0.0079365079365079,0.041871921182266,0.0119047619047619,0.0208078335373317,0.1349206349206349,0.0172168131085252,00-0035973,Patrick Taylor,2022,GB
32,141.0,0,7.0,11,17,49.0,59.0,4.0,0.5139904837866262,0.7297317856435573,30.0,0.0508982035928143,0.0536363636363636,0.0741792837090047,0.0205364626990779,0.1467065868263473,0.033328148954607,00-0035973,Patrick Taylor,2023,GB
1,-12.0,0,0.0,1,1,2.0,6.0,0.0,0.0384615384615384,0.0392712550607287,0.0,0.0357142857142857,0.054054054054054,0.0334456424079065,0.0103626943005181,0.0714285714285714,0.0,00-0036000,Adrian Killins,2020,PHI
75,319.0,3,18.0,11,14,61.0,71.0,2.0,0.4040880511618298,0.6261134187847097,69.0,0.0663507109004739,0.1143317230273752,0.0959591873698191,0.0426275331935709,0.2890995260663507,0.1313935331530639,00-0036020,Salvon Ahmed,2020,MIA
54,149.0,0,8.0,12,19,117.0,123.0,4.0,0.5359080023963547,0.9136944132088092,38.6,0.0454545454545454,0.1017369727047146,0.0793117808557238,0.0427007299270073,0.2799043062200957,0.0425672695191883,00-0036020,Salvon Ahmed,2021,MIA
12,64.0,1,4.0,1,1,8.0,7.0,0.0,0.025,0.0397012578616352,14.2,0.005050505050505,0.0133333333333333,0.0080297870876758,0.0054054054054054,0.0404040404040404,0.0258087968011632,00-0036020,Salvon Ahmed,2022,MIA
22,61.0,1,3.0,16,23,88.0,109.0,4.0,0.665948275862069,1.0418198669937395,42.9,0.0894941634241245,0.1311672683513838,0.1393835775512464,0.0432432432432432,0.3424124513618677,0.0617710583153347,00-0036020,Salvon Ahmed,2023,MIA
2,9.0,0,0.0,1,1,7.0,4.0,0.0,0.0263157894736842,0.0466409197054068,2.6,0.024390243902439,0.0285714285714285,0.0442530974830515,0.0187667560321715,0.1707317073170731,0.0237399561723886,00-0036069,Scottie Phillips,2020,HOU
6,13.0,0,1.0,2,3,9.0,7.0,0.0,0.0833333333333333,0.1308091286307054,4.2,0.036144578313253,0.028,0.0567646381705164,0.0163636363636363,0.108433734939759,0.0262993112085159,00-0036069,Scottie Phillips,2021,HOU
