receptions,targets,receiving_yards,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,target_share,air_yards_share,wopr_x,fantasy_points_ppr,tgt_sh,ay_sh,wopr_y,ry_sh,rfd_sh,rtdfd_sh,w8dom,yptmpa,ppr_sh,player_id,player_name,season
18,22,207.0,118.0,123.0,9.0,0.8155962315613898,0.5113242360675764,1.581321312589388,44.7,0.0641399416909621,0.0386378519973804,0.1271201941343475,0.0757686676427525,0.0714285714285714,0.0709219858156028,0.0739482674475353,0.6034985422740525,0.0485194511983327,00-0036422,Adam Trautman,2022
22,35,204.0,226.0,98.0,10.0,1.229387733913596,1.4363607185850884,2.849534103879956,60.400000000000006,0.0708502024291498,0.0623104494072236,0.1561236631695035,0.0590961761297798,0.0680272108843537,0.0755813953488372,0.0712769409038238,0.4129554655870445,0.0482435821658493,00-0036422,Adam Trautman,2023
13,22,188.0,125.0,98.0,8.0,0.6826686358765905,0.4890568099750733,1.366342720797437,43.8,0.0491071428571428,0.0408763897972531,0.1063618261235167,0.063406408094435,0.0588235294117647,0.0628930817610062,0.0681164308233741,0.4196428571428571,0.0387576320679585,00-0036422,Adam Trautman,2024
11,15,121.0,116.0,73.0,6.0,0.4827485380116958,0.3214684155918406,0.9491506979318324,29.1,0.0980392156862745,0.0826210826210826,0.2131556896262778,0.1205179282868526,0.1304347826086956,0.1372549019607843,0.1364143426294821,0.7908496732026143,0.0866432442088965,00-0036423,Albert Okwuegbunam,2020
33,40,330.0,226.0,245.0,15.0,1.4037014905429228,0.9851897551829862,2.7951850644424745,76.0,0.101010101010101,0.0689444783404514,0.2066707341875127,0.1150226559776925,0.1181102362204724,0.1214285714285714,0.1227873555513848,0.8333333333333334,0.0750869427758457,00-0036423,Albert Okwuegbunam,2021
10,18,95.0,99.0,59.0,4.0,0.5187070364381019,0.4810807144133343,1.1148170547464868,25.5,0.0869565217391304,0.059245960502693,0.17783155101085,0.0624178712220762,0.0634920634920634,0.072463768115942,0.0832676303109943,0.4589371980676328,0.0526772434308378,00-0036423,Albert Okwuegbunam,2022
0,1,0.0,10.0,0.0,0.0,0.0238095238095238,0.0334448160535117,0.0591256569517439,0.0,0.0208333333333333,0.0284090909090909,0.0539772727272727,0.0,0.0,0.0,0.0,0.0,0.0,00-0036423,Albert Okwuegbunam,2023
1,1,9.0,3.0,6.0,1.0,0.0344827586206896,0.0130434782608695,0.0608545727136431,1.9,0.0344827586206896,0.0130434782608695,0.0621589205397301,0.0368852459016393,0.0909090909090909,0.0769230769230769,0.0295081967213114,0.3103448275862069,0.022232623449567,00-0036424,Brycen Hopkins,2021
7,11,109.0,113.0,33.0,5.0,0.4096257699198876,0.7851012586106503,1.1640095359072864,17.900000000000002,0.0561224489795918,0.0762483130904183,0.1451823239417224,0.0894175553732567,0.0769230769230769,0.0704225352112676,0.0715340442986054,0.5561224489795918,0.0389333565338437,00-0036424,Brycen Hopkins,2022
5,7,78.0,66.0,32.0,3.0,0.2471668993408123,0.3783792259918689,0.6356158072055268,12.8,0.0534351145038167,0.0585106382978723,0.126961182394023,0.0744985673352435,0.0576923076923076,0.0535714285714285,0.0595988538681948,0.5954198473282443,0.035302553919135,00-0036424,Brycen Hopkins,2023
3,4,36.0,10.0,25.0,2.0,0.1025807525807525,0.037794226365732,0.1803270873271413,6.6000000000000005,0.0330578512396694,0.0121654501216545,0.0593191369568277,0.0424028268551236,0.0444444444444444,0.04,0.0339222614840989,0.2975206611570248,0.0238387632738568,00-0036429,Charlie Woerner,2020
5,6,52.0,52.0,9.0,3.0,0.2223239723239723,0.2169705387625855,0.4853653356197683,10.2,0.0545454545454545,0.05344295991778,0.1245725497524058,0.0562162162162162,0.0769230769230769,0.073170731707317,0.0449729729729729,0.4727272727272727,0.0322682695349572,00-0036429,Charlie Woerner,2021
