receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,target_share,air_yards_share,wopr_x,fantasy_points_ppr,wopr_y,ry_sh,rfd_sh,rtdfd_sh,w8dom,yptmpa,ppr_sh,tgt_sh,player_id,player_name,season
25,67,380.0,1,1045.0,64.0,16.0,2.2292985798939604,3.97247501142112,6.124680377835724,69.0,0.3998573014111305,0.1255368351503138,0.1159420289855072,0.1103896103896103,0.112929468120251,0.8102345415778252,0.0656280317297266,0.1428571428571428,00-0031359,Kelvin Benjamin,2018
50,84,603.0,3,1203.0,170.0,30.0,2.2936268823768824,3.905003619717915,6.173942857367864,132.5,0.4230654455649311,0.1427218934911242,0.144927536231884,0.1404255319148936,0.1356060862214708,1.0767857142857142,0.0913352174812159,0.15,00-0031373,Martavis Bryant,2017
19,27,266.0,0,320.0,131.0,10.0,0.7593055218691891,1.5654994625295804,2.23480790657449,45.900000000000006,0.326550646573878,0.1398527865404837,0.108695652173913,0.101010101010101,0.1118822292323869,1.047244094488189,0.0790180415920672,0.1062992125984252,00-0031373,Martavis Bryant,2018
75,121,997.0,12,1438.0,386.0,45.0,3.1324129997569408,4.220662521099743,7.653083264405232,246.7,0.5062930771211459,0.22429696287964,0.2027027027027027,0.2175572519083969,0.239437570303712,1.6080645161290323,0.150849944967592,0.1951612903225806,00-0031381,Davante Adams,2016
74,117,885.0,10,1137.0,338.0,45.0,3.503989350762578,4.988804179191136,8.748146951577661,222.5,0.6267988234868667,0.2757868494858211,0.28125,0.2989130434782608,0.3039628129219902,1.806122448979592,0.1858720531969993,0.2387755102040816,00-0031381,Davante Adams,2017
111,169,1386.0,13,1906.0,475.0,64.0,4.402258930285946,5.704733486331575,10.59670183586102,329.6,0.7122757506651463,0.3099977633639006,0.3152709359605911,0.337719298245614,0.3519982106911206,2.31,0.2207576488238761,0.2816666666666667,00-0031381,Davante Adams,2018
83,127,997.0,5,1270.0,388.0,54.0,3.688501820443154,4.136094905030974,8.428019164186413,212.7,0.6979078538991415,0.3609703113685735,0.391304347826087,0.3831168831168831,0.3512762490948588,2.286697247706422,0.2119834957842492,0.2912844036697247,00-0031381,Davante Adams,2019
115,149,1374.0,18,1330.0,597.0,73.0,4.7605967891495,5.543559306564494,11.021386698319397,358.40000000000003,0.7835242089006517,0.3724586608837083,0.3945945945945946,0.4026548672566372,0.3857718067557472,2.980477223427332,0.2358422278667596,0.3232104121475054,00-0031381,Davante Adams,2020
123,169,1553.0,11,1614.0,601.0,84.0,5.068822851721333,5.93186289938119,11.755538307148834,344.3,0.748525326577623,0.3576692768309534,0.3733333333333333,0.3625954198473282,0.3455948809242222,2.7931654676258995,0.2172541299107762,0.3039568345323741,00-0031381,Davante Adams,2021
100,180,1516.0,14,2129.0,493.0,65.0,5.576177032367095,7.131117176492586,13.356047572095452,335.5,0.7785713421395032,0.3625059780009564,0.3367875647668393,0.3574660633484163,0.3900047824007652,2.5870307167235493,0.2294519142650015,0.3071672354948805,00-0031381,Davante Adams,2022
